50mtorr70W
Integration time [ms]: 200,000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1004020U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 723,07;   -2,690;    0,000;    0,000
 723,13;   83,220;    0,000;    0,000
 723,20;   80,880;    0,000;    0,000
 723,26;   91,340;    0,000;    0,000
 723,33;  -55,420;    0,000;    0,000
 723,39;  -14,740;    0,000;    0,000
 723,46;  -26,280;    0,000;    0,000
 723,52;   19,370;    0,000;    0,000
 723,59;  -65,040;    0,000;    0,000
 723,66;  -10,620;    0,000;    0,000
 723,72; -134,900;    0,000;    0,000
 723,79;   55,800;    0,000;    0,000
 723,85;  -92,810;    0,000;    0,000
 723,92;   63,280;    0,000;    0,000
 723,98;   24,140;    0,000;    0,000
 724,05;  273,810;    0,000;    0,000
 724,12;  280,950;    0,000;    0,000
 724,18;  230,910;    0,000;    0,000
 724,25;   25,860;    0,000;    0,000
 724,31;  -53,000;    0,000;    0,000
 724,38;  127,560;    0,000;    0,000
 724,44;   30,880;    0,000;    0,000
 724,51;  -49,830;    0,000;    0,000
 724,57;  -12,180;    0,000;    0,000
 724,64;  -26,490;    0,000;    0,000
 724,71;   51,580;    0,000;    0,000
 724,77;  -39,650;    0,000;    0,000
 724,84;  -49,830;    0,000;    0,000
 724,90;  -71,310;    0,000;    0,000
 724,97;  -29,260;    0,000;    0,000
 725,03;  -65,030;    0,000;    0,000
 725,10;  -63,770;    0,000;    0,000
 725,16;   48,060;    0,000;    0,000
 725,23;  101,310;    0,000;    0,000
 725,29;  -17,580;    0,000;    0,000
 725,36;   22,450;    0,000;    0,000
 725,43;  107,970;    0,000;    0,000
 725,49;   15,890;    0,000;    0,000
 725,56;   41,060;    0,000;    0,000
 725,62;   29,800;    0,000;    0,000
 725,69;   98,160;    0,000;    0,000
 725,75;  134,120;    0,000;    0,000
 725,82;   46,980;    0,000;    0,000
 725,88;   60,870;    0,000;    0,000
 725,95;   -7,160;    0,000;    0,000
 726,01;   48,670;    0,000;    0,000
 726,08;   -9,940;    0,000;    0,000
 726,15;  -17,660;    0,000;    0,000
 726,21;  -33,780;    0,000;    0,000
 726,28;  -24,630;    0,000;    0,000
 726,34;   68,580;    0,000;    0,000
 726,41;  -22,120;    0,000;    0,000
 726,47;  -11,130;    0,000;    0,000
 726,54;   64,730;    0,000;    0,000
 726,60;  -43,830;    0,000;    0,000
 726,67;  115,970;    0,000;    0,000
 726,73;   -5,900;    0,000;    0,000
 726,80;   28,420;    0,000;    0,000
 726,86;  -56,990;    0,000;    0,000
 726,93;   27,740;    0,000;    0,000
 726,99;   35,660;    0,000;    0,000
 727,06;   26,240;    0,000;    0,000
 727,13;  166,700;    0,000;    0,000
 727,19;  174,950;    0,000;    0,000
 727,26;  185,570;    0,000;    0,000
 727,32;  132,580;    0,000;    0,000
 727,39; -130,930;    0,000;    0,000
 727,45;   27,240;    0,000;    0,000
 727,52;  -69,900;    0,000;    0,000
 727,58;  -45,910;    0,000;    0,000
 727,65;  -62,880;    0,000;    0,000
 727,71;  100,740;    0,000;    0,000
 727,78;    0,270;    0,000;    0,000
 727,84;   -2,530;    0,000;    0,000
 727,91;  -67,270;    0,000;    0,000
 727,97;  -44,880;    0,000;    0,000
 728,04;  -12,620;    0,000;    0,000
 728,10;    0,490;    0,000;    0,000
 728,17;  -14,280;    0,000;    0,000
 728,23;  -66,760;    0,000;    0,000
 728,30;   27,770;    0,000;    0,000
 728,36;   70,170;    0,000;    0,000
 728,43;  -42,210;    0,000;    0,000
 728,49;   38,120;    0,000;    0,000
 728,56;   60,530;    0,000;    0,000
 728,63;  521,680;    0,000;    0,000
 728,69;  -43,420;    0,000;    0,000
 728,76;   65,030;    0,000;    0,000
 728,82;  -63,150;    0,000;    0,000
 728,89;   77,380;    0,000;    0,000
