0	0
2.82	0
3.30441	511.83656
4.98881	1424.45689
6.67322	1148.58467
8.35763	917.12634
10.04	763.29159
11.72	653.65103
13.41	571.55225
15.09	507.77548
16.77	456.80303
18.46	415.13062
20.14	380.42582
21.83	351.07597
23.51	325.93044
25.20	304.14621
26.88	285.09153
28.57	268.28364
30.25	253.34726
31.93	239.98631
33.62	227.96401
35.30	217.08878
36.99	207.20393
38.67	198.18006
40.36	189.90938
42.04	182.30137
43.73	175.27945
45.41	168.77841
47.09	162.74237
48.78	157.12315
50.46	151.87903
52.15	146.97366
53.83	142.37523
55.52	138.05583
57.20	133.99079
58.88	130.1583
60.57	126.53894
62.25	123.11543
63.94	119.87229
65.62	116.79563
67.31	113.87294
68.99	111.09296
70.68	108.44548
72.36	105.92125
74.04	103.51185
75.73	101.20963
77.41	99.00759
79.10	96.89933
80.78	94.87899
82.47	92.94117
84.15	91.08092
85.84	89.29368
87.52	87.57523
89.20	85.92168
90.89	84.32941
92.57	82.79508
94.26	81.31559
95.94	79.88804
97.63	78.50975
99.31	77.17821
101	75.89109
